valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,cluster_label
0.91,1977,0.5,['Idris Muhammad'],0.894,273067,0.521,0,0KdzyvsBqX1HV3uLxGm2JV,0.772,4,0.068,-7.047999999999999,1,Camby Bolongo,34,1977,0.0847,126.805,10
0.583,1976,0.93,['Stan Getz'],0.585,182200,0.272,0,1f4eO5waC6glPLXUhYKLm2,0.115,11,0.128,-16.692999999999998,0,Just One of Those Things,26,1976,0.0802,90.104,18
0.647,1994,0.157,"['Warren G', 'The Twinz']",0.878,179933,0.52,1,1X07ZfF5KQt8dyJ5kAkVAQ,0.0,7,0.173,-12.609000000000002,1,Recognize,38,1994-06-07,0.403,90.744,19
0.196,1957,0.937,['Red Garland Quintet'],0.463,925947,0.287,0,5wmMDeM4qvLfwqLa2cvoks,0.8370000000000001,0,0.112,-11.758,0,Soul Junction,13,1957,0.0363,186.764,2
0.422,1921,0.995,['Ignacio Corsini'],0.648,154240,0.0995,0,0SK1upzAP6NvIgF0uGh6z2,0.846,11,0.112,-22.429,1,Flor Marchita - Remasterizado,0,1921-03-20,0.105,71.97800000000002,8
0.119,2017,0.144,['PARTYNEXTDOOR'],0.424,272340,0.419,1,16aNJYinJv9AAetWD5yJen,0.0,1,0.174,-8.503,1,Freak in You,62,2017-06-02,0.054,86.5,4
0.265,1972,0.569,['Big Star'],0.585,58907,0.356,0,4s8oEXoqMtMLcM7JqsHVCW,3.81e-05,2,0.0848,-12.365,1,ST 100/6,23,1972,0.0352,88.758,3
0.0806,1951,0.977,"['Giacomo Puccini', 'Giovanni Inghilleri', 'Renata Tebaldi', ""Orchestra dell'Accademia Nazionale di Santa Cecilia"", 'Alberto Erede']",0.307,194573,0.0267,0,1LFJdyV9hCKHfCMO6Sp9wA,0.0,5,0.156,-24.962,1,Madama Butterfly / Act 2: Ora a noi. Sedete qui,0,1951-01-01,0.0802,76.89399999999998,14
0.618,1966,0.718,['Nancy Wilson'],0.634,130720,0.684,0,6RsJIcoNvEyMKuXqnhJ71f,0.000714,4,0.171,-5.712999999999999,0,My Babe,25,1966-01-01,0.0643,75.75,5
0.403,1985,0.000147,['Big Black'],0.361,149000,0.873,1,0XGcXc6VkB5dx6RNWxV0rF,0.261,1,0.308,-10.335,1,Big Money,25,1985-06-01,0.0429,177.327,4
0.457,2009,0.00151,['Skillet'],0.384,176707,0.909,0,7oc2wH81jpU45L5H2JnThI,0.0,11,0.331,-3.706,0,Dead Inside,48,2009-08-24,0.0568,159.999,13
0.8859999999999999,2006,0.588,['Kenny Vance and the Planotones'],0.715,153480,0.439,0,00Y89Ir6nXEQdKQb3GLjet,0.0,5,0.0826,-8.904,1,Sh Boom (Life Could Be A Dream),42,2006-03-05,0.037,130.481,10
0.191,1999,1.87e-05,['Metallica'],0.26,421467,0.943,0,1ZCj3AabIF9OtX1ZMKvhnE,0.00342,3,0.958,-4.1930000000000005,1,Wherever I May Roam - Live with the SFSO,35,1999-11-23,0.0661,136.349,9
0.532,1976,0.595,['Tyrone Davis'],0.528,302960,0.291,0,2SPs02zSDefyC5m5PXOgk5,0.00575,7,0.601,-15.028,1,I Got Carried Away,22,1976,0.028,86.073,9
0.0581,1986,0.96,"['Cocteau Twins', 'Harold Budd']",0.205,455800,0.0257,0,5K5NG7aJtMgnu0a4FNP3Yv,0.945,11,0.0936,-26.922,1,The Ghost Has No Home,34,1986-11-10,0.0395,112.679,17
0.691,1990,0.0798,['Brand Nubian'],0.731,303040,0.857,1,6i4Gu9ogL4kClgBzj3NZ6g,8.8e-06,9,0.0772,-13.358,1,Slow Down,49,1990-11-30,0.19,95.879,19
0.222,1938,0.979,"['Wolfgang Amadeus Mozart', 'Lili Kraus', 'Willy Boskovsky', 'Nikolaus Hubner']",0.279,523173,0.127,0,4BPbUQtLjiuq8sJsAA4680,0.212,3,0.151,-23.18,1,"Trio No. 3 in B-Flat Major, K. 502: II. Larghetto",0,1938,0.034,83.789,2
0.78,1992,0.7,"['Chalino Sanchez', 'Los Amables Del Norte']",0.488,212544,0.534,0,7rd82DIvm0g5fviPOQLCIB,0.00024,7,0.0313,-6.879,1,Me Persigue Tu Sombra,46,1992-01-01,0.124,181.30900000000003,11
0.966,2012,0.551,['Los Rehenes'],0.738,192000,0.441,0,7lbUjUWKj7X9ihNLTyfdBP,0.0,11,0.101,-7.069,1,El Bastardo,50,2012,0.074,182.617,11
0.865,1966,0.175,['The Kinks'],0.603,132280,0.627,0,1y0o9nvT3hytrBTZldfqPq,0.0,2,0.134,-6.65,1,Dandy - Mono Mix,33,1966-10-28,0.0274,92.092,10
0.252,1982,0.8740000000000001,['Simon & Garfunkel'],0.26,231560,0.109,0,4e41Kd7WsZ0CfomJihS3GE,0.000257,2,0.745,-21.998,1,"Scarborough Fair - Live at Central Park, New York, NY - September 19, 1981",45,1982-02-16,0.0368,112.751,9
0.821,1958,0.622,['Cannonball Adderley'],0.477,280440,0.489,0,5L8QJVWnRtbvCisADn8hio,0.0334,7,0.0996,-12.46,0,Our Delight,8,1958-02-04,0.0539,142.477,18
0.4,1956,0.9,"['Antônio Carlos Jobim', 'Roberto Paiva']",0.541,128053,0.501,0,3Sbd2TsEkiMljik57jipK2,1.46e-05,9,0.14,-8.568,0,Lamento No Morro,22,1956-01-01,0.052,105.565,18
0.4970000000000001,2019,0.664,"['Dan + Shay', 'Tori Kelly']",0.562,208960,0.383,0,7nsOsdlqa9Srr1LBYyd9pC,0.0,6,0.259,-6.063,1,Speechless (feat. Tori Kelly),62,2019-06-07,0.0337,135.15,16
0.708,1965,0.633,['The Sonics'],0.578,128840,0.963,0,5aUMz88bQDj3iq9pvg9Ojy,0.0,9,0.312,-5.424,0,Good Golly Miss Molly,20,1965,0.0865,88.24,5
0.203,1975,0.889,"['Johann Pachelbel', 'English Chamber Orchestra', 'Raymond Leppard']",0.232,385000,0.119,0,17sG8zyElel8hXJrbIB6SE,0.758,2,0.197,-20.666,1,"Canon and Gigue in D Major, P. 37: Canon",29,1975,0.0363,89.038,17
0.402,1996,0.0281,['Sneaker Pimps'],0.5870000000000001,228840,0.687,0,7KvSuH86lIT2aTl9PBCAfd,0.14,1,0.121,-8.635,0,6 Underground,51,1996-08-18,0.0509,169.938,13
0.884,1969,0.578,['Jerry Lee Lewis'],0.481,110000,0.66,0,1pJwMlTh6torJVXWl4YPnk,0.0,5,0.199,-7.1229999999999976,1,Save the Last Dance For Me,35,1969-01-01,0.0369,162.093,11
0.701,2008,0.158,['Lykke Li'],0.8190000000000001,273427,0.736,0,0Ps4Eh6SQjeLnubbCsQTDD,0.00161,7,0.109,-6.504,1,Little Bit,56,2008-06-02,0.0416,120.318,10
0.5760000000000001,1989,0.00356,['The Offspring'],0.325,172040,0.87,0,1ejPkf1UqU2jGgivZLGj6u,0.00391,9,0.175,-6.979,0,Beheaded,34,1989-06-15,0.0533,148.17700000000005,13
0.311,1987,0.0349,['U2'],0.371,351565,0.773,0,7oxLbNqm9xz5fUyCJXjgbn,0.0428,8,0.98,-9.452,1,“40” - Live,37,1987-03-03,0.0412,145.222,9
0.76,1960,0.498,['Michelino e il suo complesso'],0.8959999999999999,156173,0.546,0,0PZIYTYPA7UnCYAIP03cMR,3.42e-06,1,0.114,-9.949,1,Cha cha cha de las segretarias - Remastered,24,1960-03-08,0.067,114.091,10
0.841,1959,0.7390000000000001,"['La Sonora Matancera', 'Celia Cruz']",0.589,183827,0.747,0,6QX6sNhLiptL1o5q55OXzW,0.0349,10,0.301,-5.847,1,"Cao, Cao, Maní Picao",38,1959-01-01,0.176,91.159,16
0.718,1983,0.107,['Duran Duran'],0.626,396720,0.905,0,3H7scEmUzArXtHFFuGlPZC,1.56e-05,9,0.407,-6.477,0,The Reflex - Dance Mix; 2010 Remaster,31,1983-11-21,0.0988,126.613,5
0.453,2003,0.0693,['Dave Matthews'],0.522,273653,0.8220000000000001,0,0VEoT19OOKKJVJhjxk6V6H,0.0,9,0.289,-6.103,1,So Damn Lucky,41,2003-09-22,0.0258,130.27700000000002,12
0.916,1963,0.185,['The Beach Boys'],0.56,169307,0.662,0,13ULqpWZmOzAr9VBFa2pYC,7.53e-05,4,0.0785,-9.471,1,Car Crazy Cutie (Stereo),15,1963-10-07,0.0493,129.072,10
0.674,1982,0.000458,['XTC'],0.5820000000000001,272533,0.7440000000000001,0,0KlWpxzYGq2sjVmwPHprxM,0.00132,7,0.0405,-9.155,1,Ball And Chain - 2001 Remaster,27,1982-02-12,0.0336,133.344,10
0.674,1931,0.584,['Zofia Dromlewiczowa'],0.72,150500,0.265,0,3hVE9lwgzuXbfvRcKrO6qY,0.0,9,0.122,-21.97,0,Chapter 1.16 - Dziewczynka z Luna Parku: Część 1,0,1931,0.955,97.555,7
0.757,1974,0.335,['Barry White'],0.7440000000000001,201213,0.8190000000000001,0,2ovt4Q16wf4Esgem3L55yk,1.15e-05,5,0.266,-6.385,1,"Can't Get Enough Of Your Love, Babe",26,1974-07-25,0.0734,110.963,10
0.0493,1950,0.871,"['Leonard Bernstein', 'Columbia Wind Ensemble', 'Nancy Williams']",0.18,441867,0.119,0,02ehlCM8rCY3HsjKwyilfF,0.00374,4,0.351,-18.713,0,Trouble In Tahiti: I Was Standing in a Garden,0,1950,0.0449,170.255,14
0.8290000000000001,1959,0.878,['Marty Robbins'],0.809,100360,0.5770000000000001,0,66RbVtQkNBFb7BcebSkeAT,0.0,7,0.392,-7.749,1,A Hundred And Sixty Acres,46,1959,0.0423,121.05,0
0.54,1948,0.836,['Los Panchos'],0.7040000000000001,184240,0.335,0,0FPQP6sQWsRnOs4Pb4pMzo,3.22e-06,1,0.138,-13.162,1,Mi Último Fracaso,5,1948,0.0728,99.495,0
0.337,1951,0.965,"['Ray Noble', 'Mario Lanza', 'Ray Sinatra']",0.324,144040,0.309,0,04rAMBWZPAQNBGgFOOlVLP,0.0,0,0.647,-10.049,1,Love Is The Sweetest Thing,0,1951,0.0276,88.13,3
0.779,2014,0.207,['Dan + Shay'],0.5429999999999999,183280,0.851,0,4w9LtJn74XQhsHD1zAHnzY,0.0,11,0.0655,-4.197,1,Show You Off,55,2014-04-01,0.0381,166.054,12
0.512,1951,0.993,"['Amirbai Karnataki', 'Mohammed Rafi']",0.527,208613,0.0955,0,0iWwDuyFpXxZEKVI7mOOdX,0.103,8,0.415,-16.624000000000002,0,Ansoo Thi Meri Zindagi,0,1951-12-31,0.0337,71.917,18
0.762,1943,0.995,['Bhanumathi Ramakrishna'],0.482,155827,0.302,0,0IjGqq7KfQu2cZIPxERlws,0.8440000000000001,8,0.104,-15.345999999999998,0,Oogave Oogave Uyyala,0,1943-12-31,0.0705,128.343,8
0.693,1968,0.6629999999999999,['Duke Pearson'],0.4920000000000001,619200,0.49,0,43gn9AXGDIIrUr1MbaYPWJ,0.616,2,0.08,-13.378,1,The Phantom,23,1968-01-01,0.0359,85.197,2
0.255,1993,0.000824,['Butthole Surfers'],0.306,249000,0.889,0,6DVNQXL9LRzKq8zjyFEuTC,0.0121,6,0.271,-8.691,0,Who Was In My Room Last Night?,54,1993-01-01,0.117,182.054,13
0.889,1972,0.0639,['The Rolling Stones'],0.485,271933,0.943,1,1m8cwYJxSWNGxscZQOzQ7F,0.179,4,0.144,-4.423,1,Rocks Off,37,1972-05-12,0.0416,141.982,4
0.3229999999999999,1979,0.239,"['Neil Young', 'Crazy Horse']",0.339,291601,0.95,0,4QEGY6wW9sLFQKA45hHBM2,0.0007,2,0.97,-8.323,1,Sedan Delivery - Live; 2016 Remaster,26,1979-11-14,0.0649,109.583,9
